IDseq ;Lat;Lon;Region;LandUse;FarmingSystem;Sample;Method;;;;;;
RNFCAR_LCO_HCO_01;45,50049;10,75230;Veneto;Olive Groves;Organic farm;VR_OB_4;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_02;45,60701;10,81933;Veneto;Olive Groves;Conventional farming;VR_OI_3;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_03;45,51942;10,93600;Veneto;Vineyards;Conventional farming;VR_VI_2;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_04;45,60648;10,82078;Veneto;Olive Groves;Organic farm;VR_OB_3;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_05;45,49319;10,74655;Veneto;Olive Groves;Conventional farming;VR_OI_4;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_06;45,45700;11,30494;Veneto;Vineyards;Organic farm;VR_VB_4;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_07;45,48628;11,10599;Veneto;Olive Groves;Organic farm;VR_OB_7;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_08;45,49750;11,04000;Veneto;Olive Groves;Conventional farming;VR_OI_2;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_09;45,40728;11,17748;Veneto;Vineyards;Conventional farming;VR_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_10;45,49319;10,74655;Veneto;Olive Groves;Conventional farming;VR_OI_4;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_11;45,41095;11,17877;Veneto;Vineyards;Organic farm;VR_VB_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_12;45,51942;10,93600;Veneto;Vineyards;Conventional farming;VR_VI_2;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_13;45,57961;10,79541;Veneto;Olive Groves;Conventional farming;VR_OI_5;Pitfall Trap;;;;;;
RNFCAR_HCO_14;45,491081;11,09331;Veneto;Olive Groves;Conventional farming;VR_OI_6;Pitfall Trap;;;;;;
RNFCAR_HCO_15;45,40729;11,17748;Veneto;Vineyards;Conventional farming;VR_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_16;45,60648;10,82078;Veneto;Olive Groves;Organic farm;VR_OB_3;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_18;45,51942;10,93600;Veneto;Vineyards;Conventional farming;VR_VI_2;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_19;45,45700;11,30494;Veneto;Vineyards;Organic farm;VR_VB_4;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_21;45,43419;11,27136;Veneto;Vineyards;Conventional farming;VR_VI_5;Pitfall Trap;;;;;;
RNFCAR_LCO_22;45,48639;11,10389;Veneto;Olive Groves;Organic farm;VR_OB_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_23;45,49319;10,74655;Veneto;Olive Groves;Conventional farming;VR_OI_4;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_24;45,49319;10,74655;Veneto;Olive Groves;Conventional farming;VR_OI_4;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_25;45,53868;10,82921;Veneto;Vineyards;Organic farm;VR_VB_1;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_26;45,51324;10,93061;Veneto;Vineyards;Organic farm;VR_VB_2;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_27;45,51942;10,93600;Veneto;Vineyards;Conventional farming;VR_VI_2;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_29;45,74200;10,97162;Veneto;Vineyards;Conventional farming;VR_VI_3;Pitfall Trap;;;;;;
RNFCAR_HCO_31;45,43461;11,26956;Veneto;Vineyards;Organic farm;VR_VB_5;Pitfall Trap;;;;;;
RNFCAR_HCO_32;45,40729;11,17748;Veneto;Vineyards;Conventional farming;VR_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_33;45,40729;11,17748;Veneto;Vineyards;Conventional farming;VR_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_34;45,49444;11,04833;Veneto;Olive Groves;Organic farm;VR_OB_2;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_35;45,49444;11,04833;Veneto;Olive Groves;Organic farm;VR_OB_2;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_36;45,48628;11,10599;Veneto;Olive Groves;Organic farm;VR_OB_7;Pitfall Trap;;;;;;
RNFCAR_HCO_37;39,44861;16,25830;Calabria;Vineyards;Conventional farming;CAL_VI_5;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_38;39,44972;16,25500;Calabria;Vineyards;Conventional farming;CAL_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_40;39,44861;16,25830;Calabria;Vineyards;Conventional farming;CAL_VI_5;Pitfall Trap;;;;;;
RNFCAR_LCO_41;39,44972;16,25500;Calabria;Vineyards;Conventional farming;CAL_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_42;39,69861;16,20694;Calabria;Olive Groves;Organic farm;CAL_OB_3;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_43;39,44972;16,25500;Calabria;Vineyards;Conventional farming;CAL_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_44;39,44972;16,25500;Calabria;Vineyards;Conventional farming;CAL_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_45;39,44972;16,25500;Calabria;Vineyards;Conventional farming;CAL_VI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_47;39,45163;16,25666;Calabria;Olive Groves;Conventional farming;CAL_OI_6;Pitfall Trap;;;;;;
RNFCAR_LCO_HCO_48;39,55943;16,17332;Calabria;Vineyards;Organic farm;CAL_VB_2;Pitfall Trap;;;;;;