IDseq ;Kingdom;Phylum;Class;Order;Family;Genus;Species;BOLDAlingnment;BOLDAcc;NCBIAlignment;NCBIAcc
RNFCAR_LCO_HCO_01;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Calathus;Calathus fuscipes;Calathus fuscipes;100;Calathus fuscipes;100
RNFCAR_LCO_HCO_02;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Calathus;Calathus fuscipes;Calathus fuscipes;100;Calathus fuscipes;100
RNFCAR_LCO_HCO_03;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Calathus;Calathus fuscipes;Calathus fuscipes;100;Calathus fuscipes;100
RNFCAR_LCO_HCO_04;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus melas;Pterostichus melas;99,84;Pterostichus melas;99,85
RNFCAR_LCO_HCO_05;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus melas;Pterostichus melas;99,84;Pterostichus melas;99,85
RNFCAR_LCO_HCO_06;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus melas;Pterostichus melas;99,84;Pterostichus melas;99,85
RNFCAR_LCO_HCO_07;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus dimidiatus;Harpalus dimidiatus;99,85;Harpalus caspius;100
RNFCAR_LCO_HCO_08;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus dimidiatus;Harpalus dimidiatus;99,85;Harpalus caspius;100
RNFCAR_LCO_HCO_09;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus dimidiatus;Harpalus dimidiatus;99,85;Harpalus caspius;100
RNFCAR_LCO_10;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus distinguendus;Harpalus distinguendus;100;Harpalus distinguendus;100
RNFCAR_LCO_HCO_11;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus distinguendus;Harpalus distinguendus;100;Harpalus distinguendus;100
RNFCAR_LCO_HCO_12;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus distinguendus;Harpalus distinguendus;100;Harpalus distinguendus;100
RNFCAR_LCO_HCO_13;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Abax;Abax parallelepipedus;Abax parallelepipedus;100;Abax parallelepipedus;100
RNFCAR_HCO_14;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Abax;Abax parallelepipedus;Abax parallelepipedus;100;Abax parallelepipedus;100
RNFCAR_HCO_15;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Abax;Abax parallelepipedus;Abax parallelepipedus;100;Abax parallelepipedus;100
RNFCAR_LCO_HCO_16;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Poecilus;Poecilus koyi;Poecilus koyi;96,5;Poecilus lepidus;97,67
RNFCAR_LCO_HCO_18;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Poecilus;Poecilus koyi;Poecilus koyi;96,66;Poecilus lepidus;97,34
RNFCAR_LCO_HCO_19;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus coriaceus;Carabus coriaceus;96,96;Carabus coriaceus;98,48
RNFCAR_LCO_HCO_21;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus coriaceus;Carabus coriaceus;97,26;Carabus coriaceus;98,78
RNFCAR_LCO_22;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus germarii;Carabus germarii;96,82;Carabus coriaceus;98,31
RNFCAR_LCO_HCO_23;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus germarii;Carabus germarii;100;Carabus germarii;100
RNFCAR_LCO_HCO_24;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus germarii;Carabus germarii;100;Carabus germarii;100
RNFCAR_LCO_HCO_25;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Amara;Amara aenea;Amara aenea;100;Amara aenea;100
RNFCAR_LCO_HCO_26;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Amara;Amara aenea;Amara aenea;99,7;Amara aenea;99,7
RNFCAR_LCO_HCO_27;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Amara;Amara aenea;Amara aenea;100;Amara aenea;100
RNFCAR_LCO_HCO_29;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Amara;Amara similata;Amara aenea;99,7;Amara similata;99,85
RNFCAR_HCO_31;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Ophonus;Ophonus azureus;Ophonus azureus;99,83;Ophonus azureus;99,83
RNFCAR_HCO_32;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Ophonus;Ophonus azureus;Ophonus azureus;100;Ophonus azureus;100
RNFCAR_LCO_33;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Ophonus;Ophonus azureus;Ophonus azureus;99,82;Ophonus azureus;99,82
RNFCAR_LCO_HCO_34;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Ophonus;Ophonus ardosiacus;Ophonus azureus;97,57;Ophonus ardosiacus;97,57
RNFCAR_LCO_HCO_35;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Ophonus;Ophonus ardosiacus;Ophonus azureus;97,42;Ophonus ardosiacus;97,42
RNFCAR_LCO_HCO_36;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Ophonus;Ophonus ardosiacus;Ophonus azureus;97,42;Ophonus ardosiacus;97,42
RNFCAR_HCO_37;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Calathus;Calathus fuscipes;Calathus fuscipes;99,64;Calathus fuscipes;100
RNFCAR_LCO_HCO_38;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Calathus;Calathus fuscipes;Calathus fuscipes;99,7;Calathus fuscipes;100
RNFCAR_LCO_HCO_40;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus melas;Pterostichus melas;100;Pterostichus melas;100
RNFCAR_LCO_41;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus melas;Pterostichus melas;100;Pterostichus melas;100
RNFCAR_LCO_42;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus melas;Pterostichus melas;100;Pterostichus melas;100
RNFCAR_LCO_HCO_43;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus distinguendus;Harpalus distinguendus;100;Harpalus distinguendus;100
RNFCAR_LCO_HCO_44;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus distinguendus;Harpalus distinguendus;100;Harpalus distinguendus;100
RNFCAR_LCO_HCO_45;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Harpalus;Harpalus distinguendus;Harpalus distinguendus;100;Harpalus distinguendus;100
RNFCAR_LCO_HCO_47;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus coriaceus;Carabus coriaceus;93,87;Carabus coriaceus;94,09
RNFCAR_LCO_HCO_48;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus coriaceus;Carabus coriaceus;93,16;Carabus coriaceus;94,09